Places,Description,Status,Time,,Day,Date,Time,Route / Location,Travel Mode & Details,ATA,Cancel status(Cancelled)
,,,,Day 1,,20:00:00,Delhi to Rishikesh,Overnight bus departure,,
,,,,Day 2,,04:30:00,Arrive in Rishikesh,Transit layover and board connecting bus,,
,,,,Day 2,,05:30:00,Rishikesh to Govindghat,Scenic bus journey into the mountains,,
,,,,Day 2,,15:00:00,Arrive in Govindghat,"Check-in, rest, and overnight stay",,
,,,,Day 3,,07:00:00,Govindghat to Pulna,Short shared taxi ride to the trek base,,
,,,,Day 3,,10:00:00,Pulna to Ghangaria,Uphill trek to the basecamp,,
,,,,Day 3,,16:00:00,Arrive in Ghangaria,"Check-in, acclimatize, and overnight stay",,
,,,,Day 4,,06:30:00,Valley of Flowers,Full-day exploration trek into the national park,,
,,,,Day 4,,16:00:00,Return to Ghangaria,Evening rest and overnight stay,,
,,,,Day 5,,04:00:00,Hemkund Sahib,Early morning steep ascent trek,,
,,,,Day 5,,15:00:00,Return to Ghangaria,"Descent back to basecamp, rest, and overnight stay",,
,,,,Day 6,,07:00:00,Ghangaria to Rishikesh,"Trek down to Pulna, then taxi/bus to Rishikesh",,
,,,,Day 7,,08:00:00,Rishikesh to New Delhi,Final return bus journey and trip conclusion,,
,,,,Day 7,,,End of the Trip,Please Signed Off,,
